restaurant,order_index,latitude,longitude,vehicle
Max Södermalm,0,59.321002513382936,18.053227188771384,drone
Max Södermalm,1,59.308691599422815,18.09658582356976,drone
Max Södermalm,2,59.31632980087546,18.10129560081971,drone
Max Södermalm,3,59.31658722249797,18.044732175705736,drone
Max Södermalm,4,59.31825453412354,18.08657977431643,drone
Max Södermalm,5,59.31130557177207,18.096268137224005,drone
Max Södermalm,6,59.31651500346196,18.031399246149817,drone
Max Södermalm,7,59.31462754026844,18.087703965567464,drone
Max Södermalm,8,59.31929472126591,18.05517958494613,drone
Max Södermalm,9,59.31652201977682,18.081849336732127,drone
Max Södermalm,10,59.307331102612075,18.084536293702172,drone
Max Södermalm,11,59.31258373285796,18.07943890415359,drone
Max Södermalm,12,59.319705684158784,18.07527624516827,drone
Max Södermalm,13,59.31499522872787,18.050294503532776,drone
Max Södermalm,14,59.31116991872656,18.08860588503402,drone
Max Södermalm,15,59.316826497212006,18.09757064953158,drone
Max Södermalm,16,59.31459489017351,18.054207148834113,drone
Max Södermalm,17,59.3104774768547,18.096322932989967,drone
Max Södermalm,18,59.31517834715338,18.04802544948517,drone
Max Södermalm,19,59.310219440525536,18.08042370749259,drone
Max Södermalm,20,59.3076635679204,18.069574145036835,drone
Max Södermalm,21,59.30540554476434,18.069074105873487,drone
Max Södermalm,22,59.3066560769256,18.069395911310323,drone
Max Södermalm,23,59.31502220552393,18.07053437872124,drone
Max Södermalm,24,59.31479744150918,18.031535157487355,drone
Max Södermalm,25,59.31604488847648,18.0960432069295,drone
Max Södermalm,26,59.3154122300182,18.02818499048624,drone
Max Södermalm,27,59.312051535509774,18.07522434057159,drone
Max Södermalm,28,59.31335559622614,18.091629110159342,drone
Max Södermalm,29,59.31221298569259,18.08359890761289,drone
Max Södermalm,30,59.32085718709523,18.073733100644137,drone
Max Södermalm,31,59.30332963836748,18.076502871433313,drone
Max Södermalm,32,59.316498811961054,18.0925924823652,drone
Max Södermalm,33,59.31803235261871,18.03328921161941,drone
Max Södermalm,34,59.31442012577727,18.081274546267295,drone
Max Södermalm,35,59.31770017724713,18.072689682334044,drone
Max Södermalm,36,59.31698946894907,18.026665651707443,moped
Max Södermalm,37,59.31470261377396,18.075252325422056,drone
Max Södermalm,38,59.31296025268871,18.070298391733985,drone
Max Södermalm,39,59.30838057602777,18.08923811006659,drone
Max Södermalm,40,59.314661895538386,18.075941148270797,drone
Max Södermalm,41,59.310531507651454,18.08759027941122,drone
Max Södermalm,42,59.31719279138671,18.03248448470071,drone
Max Södermalm,43,59.31075522436805,18.07284652039075,drone
Max Södermalm,44,59.32098779258832,18.04733609712385,drone
Max Södermalm,45,59.31070833466182,18.062368313353584,drone
Max Södermalm,46,59.314541374166325,18.07587207342663,drone
Max Södermalm,47,59.317061179525346,18.03696163791089,drone
Max Södermalm,48,59.311304857188766,18.05690908195815,drone
Max Södermalm,49,59.313124902590026,18.053271871414267,drone
Max Södermalm,50,59.30994244550438,18.07896531563665,drone
Max Södermalm,51,59.31044534162558,18.05828841808973,drone
Max Södermalm,52,59.31945644979467,18.02867864709023,drone
Max Södermalm,53,59.318777366209986,18.07818373437879,drone
Max Södermalm,54,59.31295197123961,18.040819252810632,drone
Max Södermalm,55,59.3197734269713,18.072359189155936,drone
Max Södermalm,56,59.31612249504072,18.055871880507045,drone
Max Södermalm,57,59.316315307619384,18.091086509577824,drone
Max Södermalm,58,59.31519814711885,18.03550183619872,drone
Max Södermalm,59,59.31536034767856,18.09939742854293,drone
Max Södermalm,60,59.318945428979205,18.039109826365028,drone
Max Södermalm,61,59.31810372696896,18.055360142815488,drone
Max Södermalm,62,59.309884531209065,18.05326985380803,drone
Max Södermalm,63,59.31045153408301,18.05734897835312,drone
Max Södermalm,64,59.31807434672078,18.070972334327273,drone
Max Södermalm,65,59.31651799388949,18.039110749200372,drone
Max Södermalm,66,59.305788421571066,18.077065438945603,drone
Max Södermalm,67,59.32093676195034,18.060652233910524,drone
